complaint_text,category,department,subcategory,priority,sentiment,cleaned_text,department_encoded,category_encoded,priority_encoded,sentiment_encoded
Bank statement shows duplicate processing fee charges of $984.00 for order ORD-30257.,Refunds,Finance,Double Charge Return,P2,Negative,bank statement shows duplicate processing fee charges of currency_amount for order order_id.,1,16,1,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Billing,Finance,Currency Conversion Error,P1,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,2,0,0
Need guidance on how to invite additional team members and manage role-based seat allocation.,Account Management,Customer Support,Verification,P2,Negative,need guidance on how to invite additional team members and manage role-based seat allocation.,0,1,1,0
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Policy Violation,Security,Unapproved Software,P1,Negative,security vulnerability noticed login endpoint does not enforce rate limiting on failed attempts.,4,15,0,0
Cannot access the shared department network drive after the latest OS patch was deployed.,Hardware,IT,Monitor Display Glitch,P4,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,8,3,0
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Network & Connectivity,IT,DNS Resolution Error,P1,Negative,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,11,0,0
I want to transfer ownership of our corporate workspace to a different administrator email.,Onboarding,Customer Support,Initial Sync,P3,Negative,i want to transfer ownership of our corporate workspace to a different administrator email.,0,12,2,0
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Unexpected Fee,P3,Negative,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,2,2,0
Someone attempted multiple password resets on my executive account within the past hour.,Phishing,Security,Credential Harvesting,P1,Negative,someone attempted multiple password resets on my executive account within the past hour.,4,14,0,0
Tracking number ORD-43850 shows package in transit for 14 days with zero updates from the courier.,Delivery Delay,Logistics,Past Delivery Date,P4,Positive,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,6,3,2
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Late Cancellation Refund,P3,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,16,2,0
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Unexpected Fee,P1,Neutral,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,2,0,1
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,Cancellation,Customer Support,Membership Termination,P2,Negative,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,3,1,0
URGENT: I received a login notification from an unrecognized IP address in Moscow while I was offline.,Data Exposure,Security,PII Leakage,P1,Negative,urgent i received a login notification from an unrecognized ip address in moscow while i was offline.,4,5,0,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Payments,Finance,Pending Verification,P2,Positive,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,13,1,2
Detected unauthorized export of confidential customer contact lists from our staging environment.,Policy Violation,Security,Access Sharing,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,15,0,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,19,0,0
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Network & Connectivity,IT,Firewall Block,P2,Negative,the internal portal keeps crashing with fatal error code 0x8841 whenever i submit the daily batch job.,2,11,1,0
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Policy Violation,Security,Data Exfiltration Risk,P2,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,15,1,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Payments,Finance,Card Declined,P4,Positive,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,13,3,2
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Billing,Finance,Currency Conversion Error,P3,Positive,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,2,2,2
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Account Management,Customer Support,Email Change Request,P2,Positive,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,1,1,2
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Network & Connectivity,IT,Firewall Block,P4,Negative,dns resolution errors are preventing our branch office from reaching the core database cluster.,2,11,3,0
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Cancellation,Customer Support,Service Downgrade,P4,Negative,i requested account deletion under gdpr regulations two weeks ago but my account is still active.,0,3,3,0
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,General Inquiry,Customer Support,Service Availability,P3,Neutral,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,7,2,1
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Access & Permissions,IT,Role Elevation Request,P2,Negative,dns resolution errors are preventing our branch office from reaching the core database cluster.,2,0,1,0
Why am I being billed $1970.00 every month when I downgraded to the free tier?,Payments,Finance,Pending Verification,P4,Negative,why am i being billed currency_amount every month when i downgraded to the free tier?,1,13,3,0
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Sensitive Token in Logs,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,5,0,0
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative,someone attempted multiple password resets on my executive account within the past hour.,4,19,0,0
I was charged twice for transaction TXN414922 on my credit card. The amount was $894.00 and both debits cleared my bank account.,Payments,Finance,Gateway Timeout,P2,Negative,i was charged twice for transaction transaction_id on my credit card. the amount was currency_amount and both debits cleared my bank account.,1,13,1,0
I was charged twice for transaction TXN437864 on my credit card. The amount was $795.00 and both debits cleared my bank account.,Payments,Finance,Gateway Timeout,P1,Negative,i was charged twice for transaction transaction_id on my credit card. the amount was currency_amount and both debits cleared my bank account.,1,13,0,0
I requested account deletion under GDPR regulations two weeks ago but my account is still active.,Cancellation,Customer Support,Auto-Renew Disable,P4,Positive,i requested account deletion under gdpr regulations two weeks ago but my account is still active.,0,3,3,2
No response received on my initial inquiry submitted over 96 hours ago.,General Inquiry,Customer Support,Service Availability,P3,Neutral,no response received on my initial inquiry submitted over 96 hours ago.,0,7,2,1
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Delivery Delay,Logistics,Past Delivery Date,P4,Positive,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,6,3,2
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Software Crash,IT,Application Memory Leak,P1,Neutral,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,18,0,1
My refund for order ORD-22656 of $1541.00 has not been credited even though customer support confirmed 7 days ago.,Billing,Finance,Subscription Overcharge,P2,Positive,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,2,1,2
I want to transfer ownership of our corporate workspace to a different administrator email.,General Inquiry,Customer Support,Operating Hours,P3,Neutral,i want to transfer ownership of our corporate workspace to a different administrator email.,0,7,2,1
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,Sensitive Token in Logs,P2,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,5,1,0
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Software Crash,IT,Data Sync Failure,P2,Negative,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,18,1,0
I want to transfer ownership of our corporate workspace to a different administrator email.,Onboarding,Customer Support,Initial Sync,P1,Negative,i want to transfer ownership of our corporate workspace to a different administrator email.,0,12,0,0
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P4,Negative,package was marked as delivered on the tracking portal but no package was left at our reception desk.,3,10,3,0
Your live chat representative disconnected the session abruptly without solving my support query.,Onboarding,Customer Support,Setup Guide Incomplete,P2,Positive,your live chat representative disconnected the session abruptly without solving my support query.,0,12,1,2
There is an unexpected recurring billing charge of $962.00 on my statement that I did not authorize.,Billing,Finance,Currency Conversion Error,P1,Negative,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,2,0,0
The desktop client hangs indefinitely when exporting reports larger than 50MB.,Network & Connectivity,IT,Firewall Block,P1,Positive,the desktop client hangs indefinitely when exporting reports larger than 50mb.,2,11,0,2
Session tokens do not seem to invalidate after changing my master password.,Data Exposure,Security,Public S3 Bucket,P1,Negative,session tokens do not seem to invalidate after changing my master password.,4,5,0,0
Session tokens do not seem to invalidate after changing my master password.,Phishing,Security,Suspicious Email Campaign,P1,Negative,session tokens do not seem to invalidate after changing my master password.,4,14,0,0
I cannot complete account verification because your SMS OTP service does not support my regional carrier.,Onboarding,Customer Support,Setup Guide Incomplete,P4,Neutral,i cannot complete account verification because your sms otp service does not support my regional carrier.,0,12,3,1
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Payments,Finance,Pending Verification,P1,Negative,unable to generate downloadable pdf tax invoices for the past quarter from the billing portal.,1,13,0,0
Account takeover alert: user reported unexpected password change notification and lock-out.,Data Exposure,Security,Sensitive Token in Logs,P2,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,5,1,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Missing Items,Logistics,Incomplete Order Delivery,P2,Positive,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,10,1,2
Courier tracking reports delivery exception: address unreachable even though business was open.,Missing Items,Logistics,Wrong Product Shipped,P3,Negative,courier tracking reports delivery exception address unreachable even though business was open.,3,10,2,0
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Unauthorized Access,Security,Session Hijack,P2,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,19,1,0
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Hardware,IT,Laptop Battery Failure,P3,Positive,dns resolution errors are preventing our branch office from reaching the core database cluster.,2,8,2,2
My MFA token has become desynchronized and I am completely locked out of the single sign-on system.,Network & Connectivity,IT,VPN Disconnection,P4,Negative,my mfa token has become desynchronized and i am completely locked out of the single sign-on system.,2,11,3,0
Account takeover alert: user reported unexpected password change notification and lock-out.,Phishing,Security,Spoofed Domain,P1,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,14,0,0
Tracking number ORD-25890 shows package in transit for 14 days with zero updates from the courier.,Missing Items,Logistics,Wrong Product Shipped,P2,Positive,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,10,1,2
Why am I being billed $276.00 every month when I downgraded to the free tier?,Payments,Finance,Card Declined,P4,Positive,why am i being billed currency_amount every month when i downgraded to the free tier?,1,13,3,2
Cannot access the shared department network drive after the latest OS patch was deployed.,Access & Permissions,IT,Role Elevation Request,P1,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,0,0,0
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Service Downgrade,P3,Positive,where can i find the official sla documentation and technical specifications for enterprise tier?,0,3,2,2
Courier tracking reports delivery exception: address unreachable even though business was open.,Returns & Pickup,Logistics,Return Label Expired,P3,Negative,courier tracking reports delivery exception address unreachable even though business was open.,3,17,2,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Damaged Package,Logistics,Crushed Shipping Box,P4,Negative,received completely wrong model of network switch instead of the enterprise router ordered.,3,4,3,0
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Returns & Pickup,Logistics,Courier Pickup Missed,P3,Neutral,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,17,2,1
Our security scanner flagged an exposed API secret token in a public documentation repository.,Unauthorized Access,Security,Suspicious Login Attempt,P1,Negative,our security scanner flagged an exposed api secret token in a public documentation repository.,4,19,0,0
Delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,Damaged Package,Logistics,Water Damage,P4,Neutral,delivery driver refused to deliver to the 4th floor loading bay despite enterprise delivery instructions.,3,4,3,1
Detected unauthorized export of confidential customer contact lists from our staging environment.,Phishing,Security,Spoofed Domain,P2,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,14,1,0
Payment of $560.00 via payment gateway timed out but money was debited from my account.,Refunds,Finance,Refund Not Credited,P2,Negative,payment of currency_amount via payment gateway timed out but money was debited from my account.,1,16,1,0
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Access & Permissions,IT,Password Expiry,P3,Negative,"corporate vpn keeps dropping every 10 minutes, disconnecting all active ssh sessions to production servers.",2,0,2,0
Courier tracking reports delivery exception: address unreachable even though business was open.,Damaged Package,Logistics,Broken Seal,P4,Positive,courier tracking reports delivery exception address unreachable even though business was open.,3,4,3,2
Credit card transaction failed with error ERR_PAY_901 but amount was deducted immediately.,Invoices,Finance,Address Correction,P3,Negative,credit card transaction failed with error err_pay_901 but amount was deducted immediately.,1,9,2,0
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Data Exposure,Security,PII Leakage,P2,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,5,1,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Invoices,Finance,Tax Invoice Missing,P4,Positive,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,9,3,2
Potential data exposure: diagnostic log files contain unmasked user credit card and phone numbers.,Unauthorized Access,Security,Unrecognized IP Address,P1,Negative,potential data exposure diagnostic log files contain unmasked user credit card and phone numbers.,4,19,0,0
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Wrong Product Shipped,P3,Neutral,package was marked as delivered on the tracking portal but no package was left at our reception desk.,3,10,2,1
The internal portal keeps crashing with fatal error code 0x8841 whenever I submit the daily batch job.,Software Crash,IT,Application Memory Leak,P1,Positive,the internal portal keeps crashing with fatal error code 0x8841 whenever i submit the daily batch job.,2,18,0,2
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Missing Items,Logistics,Incomplete Order Delivery,P3,Negative,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,10,2,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Returns & Pickup,Logistics,Return Label Expired,P3,Negative,received completely wrong model of network switch instead of the enterprise router ordered.,3,17,2,0
Tracking number ORD-64172 shows package in transit for 14 days with zero updates from the courier.,Damaged Package,Logistics,Broken Seal,P4,Negative,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,4,3,0
Detected unauthorized export of confidential customer contact lists from our staging environment.,Unauthorized Access,Security,Session Hijack,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,19,0,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Membership Termination,P1,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,3,0,0
Received completely wrong model of network switch instead of the enterprise router ordered.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Negative,received completely wrong model of network switch instead of the enterprise router ordered.,3,6,1,0
DNS resolution errors are preventing our branch office from reaching the core database cluster.,Network & Connectivity,IT,DNS Resolution Error,P2,Negative,dns resolution errors are preventing our branch office from reaching the core database cluster.,2,11,1,0
I cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,Refunds,Finance,Partial Refund Dispute,P4,Negative,i cancelled my annual plan within the 14 day guarantee period but only received a partial refund.,1,16,3,0
There is an unexpected recurring billing charge of $647.00 on my statement that I did not authorize.,Invoices,Finance,Tax Invoice Missing,P1,Neutral,there is an unexpected recurring billing charge of currency_amount on my statement that i did not authorize.,1,9,0,1
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Hardware,IT,Docking Station,P2,Negative,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,8,1,0
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Delivery Delay,Logistics,Weather Delay,P3,Neutral,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,6,2,1
Someone attempted multiple password resets on my executive account within the past hour.,Unauthorized Access,Security,Session Hijack,P2,Negative,someone attempted multiple password resets on my executive account within the past hour.,4,19,1,0
Urgent replacement needed: the received industrial sensors are dead on arrival.,Missing Items,Logistics,Incomplete Order Delivery,P2,Negative,urgent replacement needed the received industrial sensors are dead on arrival.,3,10,1,0
Tracking number ORD-85067 shows package in transit for 14 days with zero updates from the courier.,Damaged Package,Logistics,Crushed Shipping Box,P4,Positive,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,4,3,2
Ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,Missing Items,Logistics,Incomplete Order Delivery,P1,Negative,ordered a 5-pack of commercial barcode scanners but the parcel only contained 2 units.,3,10,0,0
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Service Downgrade,P4,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,3,3,0
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Software Crash,IT,Data Sync Failure,P4,Negative,sso authentication enters an infinite redirect loop in chrome and edge browsers.,2,18,3,0
The invoice for company purchase ORD-32099 has the wrong corporate GSTIN number and incorrect billing address.,Invoices,Finance,Address Correction,P2,Neutral,the invoice for company purchase order_id has the wrong corporate gstin number and incorrect billing address.,1,9,1,1
Bank statement shows duplicate processing fee charges of $2260.00 for order ORD-10946.,Invoices,Finance,Address Correction,P3,Negative,bank statement shows duplicate processing fee charges of currency_amount for order order_id.,1,9,2,0
Account takeover alert: user reported unexpected password change notification and lock-out.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,19,1,0
Cannot access the shared department network drive after the latest OS patch was deployed.,Software Crash,IT,Frozen Screen,P1,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,18,0,0
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Service Downgrade,P1,Neutral,where can i find the official sla documentation and technical specifications for enterprise tier?,0,3,0,1
Bank statement shows duplicate processing fee charges of $2405.00 for order ORD-64948.,Payments,Finance,Failed UPI Transaction,P3,Negative,bank statement shows duplicate processing fee charges of currency_amount for order order_id.,1,13,2,0
The onboarding documentation has broken links and outdated code examples that do not work with the latest SDK.,Cancellation,Customer Support,Service Downgrade,P1,Negative,the onboarding documentation has broken links and outdated code examples that do not work with the latest sdk.,0,3,0,0
SSO authentication enters an infinite redirect loop in Chrome and Edge browsers.,Access & Permissions,IT,Password Expiry,P1,Neutral,sso authentication enters an infinite redirect loop in chrome and edge browsers.,2,0,0,1
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Returns & Pickup,Logistics,Return Label Expired,P4,Positive,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,17,3,2
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Onboarding,Customer Support,Feature Walkthrough,P4,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,12,3,0
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Damaged Package,Logistics,Broken Seal,P2,Negative,the shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,3,4,1,0
"Corporate VPN keeps dropping every 10 minutes, disconnecting all active SSH sessions to production servers.",Software Crash,IT,Fatal Exception On Launch,P3,Neutral,"corporate vpn keeps dropping every 10 minutes, disconnecting all active ssh sessions to production servers.",2,18,2,1
Multiple team members received a convincing phishing email pretending to be from IT asking for SSO passwords.,Unauthorized Access,Security,Suspicious Login Attempt,P2,Negative,multiple team members received a convincing phishing email pretending to be from it asking for sso passwords.,4,19,1,0
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Software Crash,IT,Frozen Screen,P2,Neutral,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,18,1,1
The shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,Missing Items,Logistics,Wrong Product Shipped,P2,Negative,the shipping box arrived completely crushed and the fragile electronics inside were cracked and broken.,3,10,1,0
Your live chat representative disconnected the session abruptly without solving my support query.,Account Management,Customer Support,Email Change Request,P1,Negative,your live chat representative disconnected the session abruptly without solving my support query.,0,1,0,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Shipment Stuck In Transit,P2,Neutral,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,6,1,1
Tracking number ORD-15655 shows package in transit for 14 days with zero updates from the courier.,Damaged Package,Logistics,Defective Unit Inside,P2,Negative,tracking number order_id shows package in transit for 14 days with zero updates from the courier.,3,4,1,0
I was charged twice for transaction TXN562462 on my credit card. The amount was $1730.00 and both debits cleared my bank account.,Billing,Finance,Duplicate Debit,P1,Negative,i was charged twice for transaction transaction_id on my credit card. the amount was currency_amount and both debits cleared my bank account.,1,2,0,0
The courier failed to show up for the scheduled return pickup window for the second consecutive time.,Delivery Delay,Logistics,Weather Delay,P2,Positive,the courier failed to show up for the scheduled return pickup window for the second consecutive time.,3,6,1,2
Account takeover alert: user reported unexpected password change notification and lock-out.,Unauthorized Access,Security,Compromised Token,P2,Negative,account takeover alert user reported unexpected password change notification and lock-out.,4,19,1,0
Where can I find the official SLA documentation and technical specifications for enterprise tier?,Cancellation,Customer Support,Service Downgrade,P2,Negative,where can i find the official sla documentation and technical specifications for enterprise tier?,0,3,1,0
Security vulnerability noticed: login endpoint does not enforce rate limiting on failed attempts.,Unauthorized Access,Security,Suspicious Login Attempt,P1,Negative,security vulnerability noticed login endpoint does not enforce rate limiting on failed attempts.,4,19,0,0
A suspicious email with a macro-enabled macro document attachment was sent to our finance department.,Unauthorized Access,Security,Unrecognized IP Address,P2,Negative,a suspicious email with a macro-enabled macro document attachment was sent to our finance department.,4,19,1,0
My refund for order ORD-30707 of $1822.00 has not been credited even though customer support confirmed 7 days ago.,Invoices,Finance,Tax Invoice Missing,P4,Negative,my refund for order order_id of currency_amount has not been credited even though customer support confirmed 7 days ago.,1,9,3,0
Cannot access the shared department network drive after the latest OS patch was deployed.,Software Crash,IT,Application Memory Leak,P4,Positive,cannot access the shared department network drive after the latest os patch was deployed.,2,18,3,2
Cannot access the shared department network drive after the latest OS patch was deployed.,Software Crash,IT,Frozen Screen,P1,Negative,cannot access the shared department network drive after the latest os patch was deployed.,2,18,0,0
Detected unauthorized export of confidential customer contact lists from our staging environment.,Data Exposure,Security,PII Leakage,P1,Negative,detected unauthorized export of confidential customer contact lists from our staging environment.,4,5,0,0
Package was marked as delivered on the tracking portal but no package was left at our reception desk.,Missing Items,Logistics,Empty Box Received,P2,Neutral,package was marked as delivered on the tracking portal but no package was left at our reception desk.,3,10,1,1
External monitors connected through the USB-C dock randomly flicker black every few seconds.,Access & Permissions,IT,Role Elevation Request,P4,Negative,external monitors connected through the usb-c dock randomly flicker black every few seconds.,2,0,3,0
No response received on my initial inquiry submitted over 96 hours ago.,Account Management,Customer Support,Email Change Request,P3,Positive,no response received on my initial inquiry submitted over 96 hours ago.,0,1,2,2
Please cancel my premium membership immediately and confirm that auto-renew is disabled.,Cancellation,Customer Support,Membership Termination,P3,Negative,please cancel my premium membership immediately and confirm that auto-renew is disabled.,0,3,2,0
Unable to generate downloadable PDF tax invoices for the past quarter from the billing portal.,Billing,Finance,Duplicate Debit,P3,Negative,unable to generate downloadable pdf tax invoices for the past quarter from the billing portal.,1,2,2,0
